artist_name,artist_id,track_name,track_id,track_popularity,artist_followers,artist_popularity,artist_genres
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Roses In My Backpack,0unmFukTNfCHAXM7jsYREn,42,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,Huzur Is Kadar - Chill Trap,1wLlrxFStxz4QsplKr5q6t,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,A Few Notes For Orpheus,42gMHlHVsmcZyesCGDaY9u,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suzy,4U80LJd8sG6U9YTFP5izka,R.U.N,6ZRkGwxywPUmjPLglrfqlq,50,483545,51,['k-pop']
CRAVITY,6FkhUhUwSPl3mGB6mmE8wn,Cheese,4pJONzTRaCfshJdrN051lr,46,608315,47,['k-pop']
Loco,2e4G04F77jxVuDYo44TCSm,PIKPIK,7B79L66MsXNrJPaIlRu7hS,46,411344,58,"['k-pop', 'k-rap', 'korean r&b']"
SHINee,2hRQKC0gqlZGPrmUKbcchR,Sweet Misery,3n8FLiCA7kzqfWdRk450VJ,47,3110369,61,"['k-pop', 'k-pop boy group']"
SHINee,2hRQKC0gqlZGPrmUKbcchR,Like It,4LeToSXpuo4XGo6an5ecAq,48,3110369,61,"['k-pop', 'k-pop boy group']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Patterns,6Pagqt0g3WyKIblKiRKSep,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
The Beths,7DjwIxbe8kpw4pqnzAMoin,Watching The Credits,65yCbkRvxWK69hV6ORTK7t,40,134656,47,"['auckland indie', 'bubblegrunge', 'indie rock', 'kiwi rock', 'modern power pop', 'nz indie']"
Aashish Yadav,6Q7zxRpatEpouz1e7dLbsG,Haradiya Re,5F1ZsRdeYHJyIv5oYoEwrV,47,30781,46,['khortha pop']
